Country,countryCode,Natural Capital,Resource Intensity,Social capital,Intellectual capital,Governance 
Afghanistan,AFG,38.5,53.7,31.2,29.9,43.1
Albania,ALB,59.0,49.0,48.2,40.6,52.8
Algeria,DZA,37.1,29.7,42.1,40.3,49.0
Angola,AGO,58.8,58.5,33.9,17.7,35.7
Argentina,ARG,58.0,47.7,46.1,37.1,53.9
Armenia,ARM,41.0,44.7,53.4,37.4,60.7
Australia,AUS,50.6,43.3,54.1,44.1,54.6
Austria,AUT,49.1,50.3,60.7,58.7,64.0
Azerbaijan,BHS,34.6,33.0,45.9,41.2,49.0
Bahamas,BHR,34.2,35.0,36.5,29.2,53.6
Bahrain,BGD,27.8,25.8,42.7,39.3,50.4
Bangladesh,BLR,38.2,53.0,41.8,21.5,57.1
Belarus,BEL,59.6,31.4,53.1,41.2,57.2
Belgium,BLZ,36.9,48.0,61.2,58.5,60.4
Belize,BEN,59.5,60.1,37.2,40.1,41.2
Benin,BTN,37.5,42.4,32.5,30.4,53.1
Bhutan,BOL,60.6,39.1,48.8,41.6,56.8
Bolivia,BIH,67.9,45.6,43.7,42.9,46.1
Bosnia and Herzegovina,BWA,57.3,28.8,53.5,36.2,59.4
Botswana,BRA,39.7,41.4,36.3,42.9,54.2
Brazil,BRN,64.1,50.7,37.8,53.1,38.3
Brunei,BGR,50.7,29.6,49.7,48.0,55.5
Bulgaria,BFA,51.9,37.8,49.0,47.4,61.7
Burkina Faso,BFA,31.1,54.4,44.4,28.6,49.0
Myanmar,MMR,58.1,44.6,39.4,30.8,50.2
Burundi,BDI,28.9,58.7,34.6,19.7,38.4
Cambodia,KHM,53.8,41.7,39.0,26.8,53.9
Cameroon,CMR,56.7,54.1,39.6,31.0,43.2
Canada,CAN,57.4,40.2,51.7,55.6,48.3
Central African Republic,CAF,51.0,56.9,26.2,14.6,38.7
Chad,TCD,42.7,54.7,35.0,17.0,33.7
Chile,CHL,58.3,45.0,47.5,46.7,54.4
China,CHN,38.0,36.1,53.8,71.1,58.2
Colombia,COL,69.2,50.9,37.8,35.2,50.5
Comoros,COM,29.5,53.5,33.6,29.7,44.2
Costa Rica,CRI,52.6,59.0,49.7,45.3,55.4
Cote d'Ivoire,CIV,51.8,55.9,34.9,27.6,55.9
Croatia,HRV,61.4,47.0,54.5,49.1,63.6
Cuba,CUB,44.3,49.2,40.8,36.4,46.4
Cyprus,CYP,38.8,36.7,55.4,48.8,57.8
Czech Republic,CZE,40.7,41.7,56.7,55.7,69.7
Democratic Republic of Congo,COD,58.5,61.4,32.6,16.6,39.8
Denmark,DNK,53.2,56.4,60.4,66.8,64.0
Djibouti,DJI,30.5,55.4,33.2,28.3,40.4
Dominica,DMA,45.0,50.9,38.8,42.7,48.5
Dominican Republic,DOM,44.7,46.4,40.5,34.7,53.6
Ecuador,ECU,57.9,47.8,48.4,40.5,50.8
Egypt,EGY,37.4,40.0,30.8,39.6,57.4
El Salvador,SLV,39.1,61.9,44.8,25.4,54.4
Equatorial Guinea,GNQ,59.3,51.3,38.3,25.6,32.5
Eritrea,ERI,34.8,54.1,32.7,16.2,34.6
Estonia,EST,48.1,43.8,60.4,54.9,73.2
Eswatini,SWZ,39.7,47.3,33.2,45.2,42.2
Ethiopia,ETH,40.4,60.5,40.7,23.5,52.1
Fiji,FJI,54.0,49.7,37.7,39.3,53.6
Finland,FIN,59.8,50.6,62.3,64.3,66.3
France,FRA,54.2,57.3,55.4,58.7,58.3
Gabon,GAB,52.6,50.1,38.6,28.1,45.1
Gambia,GMB,34.0,51.4,37.7,20.4,47.3
Georgia,GEO,55.8,32.9,47.6,44.3,62.0
Germany,DEU,46.2,52.3,56.1,63.2,65.0
Ghana,GHA,51.7,58.5,39.8,30.0,54.3
Greece,GRC,44.7,44.7,50.7,50.3,57.8
Grenada,GRD,32.4,47.9,41.9,40.5,50.6
Guatemala,GTM,38.2,53.6,32.7,24.7,46.4
Guinea,GIN,46.2,54.2,37.8,26.5,43.4
Guinea-Bissau,GNB,45.7,56.7,33.7,18.6,40.0
Guyana,GUY,57.2,42.9,38.8,38.2,47.4
Haiti,HTI,30.0,50.3,33.8,27.3,42.0
Honduras,HND,43.1,49.3,33.9,30.4,43.4
