field_1,field_2,field_3,field_4,field_5
Country Code,"2021","2020","2019","2018"
AFG,"53,9","54,22","49,6","46,2"
ALB,"71,0","72,27","71,1","67,9"
DZA,"70,9","70,17","69,8","66,4"
AND,,,,
AGO,"50,3","70,82","70,3","68,9"
ATG,,"69,86","68,8","69,3"
ARG,"72,8",,,
ARM,"71,8","73,17","72,4","70,3"
AUS,"75,6","74,87","73,9","72,9"
AUT,"82,1","80,70","81,1","80,0"
AZE,"72,4","72,61","70,5","70,8"
BHS,,"53,31","50,9","49,0"
BHR,"66,1","65,08","62,5","62,3"
BGD,"63,5","78,76","77,4","76,0"
BRB,"68,4","68,15",,
BLR,"78,8","69,27","68,4","68,1"
BEL,"82,2","68,83","68,7","65,9"
BLZ,"64,4","73,48","69,4","67,3"
BEN,"49,9","63,51","60,9","59,3"
BTN,"70,0","55,22","52,4","50,9"
BOL,"67,6","61,45","59,8","58,5"
BIH,"73,7","69,27","67,6","65,4"
BWA,"61,9","53,46","51,5","49,8"
BRA,"71,3","72,67","70,6","69,7"
BRN,"68,3","74,77","74,5","73,1"
BGR,"73,8","79,96","78,9","79,0"
BFA,"53,5","68,29",,
BDI,"51,8",,,
CPV,"68,1","55,25","54,2","52,4"
KHM,"64,5","78,34","78,3","77,4"
CMR,"55,3","77,42","75,6","72,8"
CAN,"79,2","64,39","61,8","60,4"
CAF,"38,3","67,18","65,1","64,7"
TCD,"40,9","79,35","78,8","80,1"
CHL,"77,1","78,19","77,9","76,8"
CHN,"72,1","38,54","39,1","37,7"
COL,"70,6","53,07","53,0",
COM,,"49,71","44,9","43,4"
COD,"49,3","73,89","73,2","70,1"
COG,"52,9","70,91","69,6","66,6"
CRI,"73,6","75,08","75,0","73,2"
CIV,"57,6","43,75","42,8","42,8"
HRV,"80,4","64,44","63,4","63,6"
CUB,"73,7","57,91","55,7","55,2"
CYP,"74,9","78,40","77,8","76,5"
CZE,"81,4","72,58","70,8","71,3"
DNK,"84,9","54,56","51,4","50,6"
DJI,"53,8","80,58","80,7","78,7"
DMA,,"84,56","85,2","84,6"
DOM,"70,8",,,
ECU,"72,5","74,26","72,3","70,8"
EGY,"68,6","68,79","66,2","63,5"
SLV,"67,9","79,80","79,4",
GNQ,,,,
ERI,,"69,62","66,7","64,1"
EST,"81,6",,,
SWZ,"53,3","49,56","51,4","68,0"
ETH,"54,5","80,06","80,2","78,3"
FJI,"71,2","55,23","53,2",
FIN,"85,9","53,40","51,7","53,2"
FRA,"81,7","69,95","70,1","83,0"
GAB,"62,8","81,13","81,5","81,2"
GMB,"59,3","65,37","63,8","62,8"
GEO,"72,2","57,86","55,0","51,6"
DEU,"82,5","75,21","70,1","70,4"
GHA,"62,5","71,88","68,9","70,7"
GRC,"75,4","61,54","59,6","58,2"
GRD,,"52,47","52,8","52,1"
GTM,"59,9",,,
GIN,"51,0","80,77","81,1","82,3"
GNB,,"74,33","71,4","70,6"
GUY,"57,9","59,74","61,4","61,9"
HTI,"51,4","77,34","76,9","75,0"
HND,"62,8","51,69","48,4","49,2"
HUN,"78,8","77,52","79,2","79,7"
ISL,"78,2","74,60","71,5","71,8"
IND,"60,1","65,30","64,2","62,8"
IDN,"66,3","61,92","61,1","59,1"
IRN,"70,0","63,14","60,8","53,7"
