CountryCode,Country,SDGIndexScore,2021 SDG Index Rank,Percentage missing values,Spillover Score (0-100),Regional Score (0-100),Regions used for the SDR, Population in 2020 ,2021,2020,2019,2018,
CAF,Central African Republic,38.3,165,#REF!,99.6,51.9,Africa,4829764 ,38.3,67.18,65.1,64.7,
SSD,South Sudan,38.9,164,0.00,99.9,51.9,Africa,11193729 ,38.9,43.66,,75.4,
TCD,Chad,40.9,163,0.00,99.8,51.9,Africa,16425859 ,40.9,79.35,78.8,80.1,
SOM,Somalia,45.6,162,#REF!,100.0,51.9,Africa,15893219 ,45.6,46.21,,60.8,
LBR,Liberia,48.6,161,#REF!,98.0,51.9,Africa,5057677 ,48.6,47.12,48.2,48.3,
NGA,Nigeria,48.9,160,#REF!,98.9,51.9,Africa,206139587 ,48.9,50.15,49.4,48.5,
MDG,Madagascar,49.0,159,#REF!,99.5,51.9,Africa,27691019 ,49.0,57.72,53.3,51.6,
COD,Congo. Dem. Rep.,49.3,158,#REF!,99.4,51.9,Africa,89561404 ,49.3,73.89,73.2,70.1,
SDN,Sudan,49.5,157,#REF!,100.0,51.9,Africa,43849269 ,49.5,75.23,72.5,,
NER,Niger,49.5,156,#REF!,99.3,51.9,Africa,24206636 ,49.5,68.66,67.9,66.4,
BEN,Benin,49.9,155,#REF!,98.8,51.9,Africa,12123198 ,49.9,63.51,60.9,59.3,
AGO,Angola,50.3,154,#REF!,97.0,51.9,Africa,32866268 ,50.3,70.82,70.3,68.9,
GIN,Guinea,51.0,153,#REF!,99.5,51.9,Africa,13132792 ,51.0,80.77,81.1,82.3,
MOZ,Mozambique,51.1,152,#REF!,99.5,51.9,Africa,31255435 ,51.1,64.58,62.2,59.0,
PNG,Papua New Guinea,51.3,151,#REF!,98.2,50.1,Oceania,8947027 ,51.3,77.65,76.4,60.8,
HTI,Haiti,51.4,150,#REF!,99.6,68.6,LAC,11402533 ,51.4,77.34,76.9,75.0,
MWI,Malawi,51.4,149,#REF!,99.1,51.9,Africa,19129955 ,51.4,65.93,63.9,62.8,
SLE,Sierra Leone,51.7,148,#REF!,99.5,51.9,Africa,7976985 ,51.7,77.51,76.2,80.0,
BDI,Burundi,51.8,147,#REF!,99.8,51.9,Africa,11890781 ,51.8,,,,
MLI,Mali,52.2,146,#REF!,99.6,51.9,Africa,20250834 ,52.2,,,,
YEM,Yemen. Rep.,52.9,145,0.00,99.0,67.1,MENA,29825968 ,52.9,73.80,71.1,69.7,
COG,Congo. Rep.,52.9,144,#REF!,97.7,51.9,Africa,5518092 ,52.9,70.91,69.6,66.6,
TGO,Togo,53.2,143,0.00,99.1,51.9,Africa,8278737 ,53.2,59.33,58.1,55.0,
SWZ,Eswatini,53.3,142,0.00,84.8,51.9,Africa,1160164 ,53.3,49.56,51.4,68.0,
ZMB,Zambia,53.4,141,0.00,98.3,51.9,Africa,18383956 ,53.4,52.67,52.6,53.1,
UGA,Uganda,53.5,140,0.00,99.2,51.9,Africa,45741000 ,53.5,,,,
