id,country_code,country_name,year,rating
1,AFG,Afghanistan,2021,53.93331208
2,AFG,Afghanistan,2020,54.22420644
3,AFG,Afghanistan,2019,49.6
4,AFG,Afghanistan,2018,46.2
5,ALB,Albania,2021,71.02185812
6,ALB,Albania,2020,72.26962213
7,ALB,Albania,2019,71.1
8,ALB,Albania,2018,67.9
9,DZA,Algeria,2021,70.85822899
10,DZA,Algeria,2020,70.16507815
11,DZA,Algeria,2019,69.8
12,DZA,Algeria,2018,66.4
13,AND,Andorra,2021,0
14,AND,Andorra,2020,0
15,AND,Andorra,2019,0
16,AND,Andorra,2018,0
17,AGO,Angola,2021,50.2961341
18,AGO,Angola,2020,70.81703268
19,AGO,Angola,2019,70.3
20,AGO,Angola,2018,68.9
21,ATG,Antigua and Barbuda,2021,0
22,ATG,Antigua and Barbuda,2020,69.86036323
23,ATG,Antigua and Barbuda,2019,68.8
24,ATG,Antigua and Barbuda,2018,69.3
25,ARG,Argentina,2021,72.79844167
26,ARG,Argentina,2020,0
27,ARG,Argentina,2019,0
28,ARG,Argentina,2018,0
29,ARM,Armenia,2021,71.79390036
30,ARM,Armenia,2020,73.16805565
31,ARM,Armenia,2019,72.4
32,ARM,Armenia,2018,70.3
33,AUS,Australia,2021,75.57571303
34,AUS,Australia,2020,74.87032364
35,AUS,Australia,2019,73.9
36,AUS,Australia,2018,72.9
37,AUT,Austria,2021,82.08008749
38,AUT,Austria,2020,80.69854631
39,AUT,Austria,2019,81.1
40,AUT,Austria,2018,80
41,AZE,Azerbaijan,2021,72.40622961
42,AZE,Azerbaijan,2020,72.60889778
43,AZE,Azerbaijan,2019,70.5
44,AZE,Azerbaijan,2018,70.8
45,BHS,Bahamas. The,2021,0
46,BHS,Bahamas. The,2020,53.3120719
47,BHS,Bahamas. The,2019,50.9
48,BHS,Bahamas. The,2018,49
49,BHR,Bahrain,2021,66.05680867
50,BHR,Bahrain,2020,65.07832872
51,BHR,Bahrain,2019,62.5
52,BHR,Bahrain,2018,62.3
53,BGD,Bangladesh,2021,63.45427276
54,BGD,Bangladesh,2020,78.75914061
55,BGD,Bangladesh,2019,77.4
56,BGD,Bangladesh,2018,76
57,BRB,Barbados,2021,68.44894869
58,BRB,Barbados,2020,68.15180411
59,BRB,Barbados,2019,0
60,BRB,Barbados,2018,0
61,BLR,Belarus,2021,78.82126238
62,BLR,Belarus,2020,69.26780066
63,BLR,Belarus,2019,68.4
64,BLR,Belarus,2018,68.1
65,BEL,Belgium,2021,82.19017353
66,BEL,Belgium,2020,68.83185367
67,BEL,Belgium,2019,68.7
68,BEL,Belgium,2018,65.9
69,BLZ,Belize,2021,64.42867239
70,BLZ,Belize,2020,73.47885854
71,BLZ,Belize,2019,69.4
72,BLZ,Belize,2018,67.3
73,BEN,Benin,2021,49.8693257
74,BEN,Benin,2020,63.50642395
75,BEN,Benin,2019,60.9
76,BEN,Benin,2018,59.3
77,BTN,Bhutan,2021,69.98158261
78,BTN,Bhutan,2020,55.21757036
79,BTN,Bhutan,2019,52.4
80,BTN,Bhutan,2018,50.9
81,BOL,Bolivia,2021,67.59949636
82,BOL,Bolivia,2020,61.45378829
83,BOL,Bolivia,2019,59.8
84,BOL,Bolivia,2018,58.5
85,BIH,Bosnia and Herzegovina,2021,73.70307713
86,BIH,Bosnia and Herzegovina,2020,69.26511056
87,BIH,Bosnia and Herzegovina,2019,67.6
88,BIH,Bosnia and Herzegovina,2018,65.4
89,BWA,Botswana,2021,61.92337997
90,BWA,Botswana,2020,53.45538609
91,BWA,Botswana,2019,51.5
92,BWA,Botswana,2018,49.8
93,BRA,Brazil,2021,71.33911401
94,BRA,Brazil,2020,72.67283198
95,BRA,Brazil,2019,70.6
96,BRA,Brazil,2018,69.7
97,BRN,Brunei Darussalam,2021,68.27481628
98,BRN,Brunei Darussalam,2020,74.76597577
99,BRN,Brunei Darussalam,2019,74.5
100,BRN,Brunei Darussalam,2018,73.1
101,BGR,Bulgaria,2021,73.8148915
102,BGR,Bulgaria,2020,79.95540431
103,BGR,Bulgaria,2019,78.9
104,BGR,Bulgaria,2018,79
105,BFA,Burkina Faso,2021,53.50675728
106,BFA,Burkina Faso,2020,68.28651775
107,BFA,Burkina Faso,2019,0
108,BFA,Burkina Faso,2018,0
109,BDI,Burundi,2021,51.79990591
110,BDI,Burundi,2020,0
111,BDI,Burundi,2019,0
112,BDI,Burundi,2018,0
113,CPV,Cabo Verde,2021,68.14469656
114,CPV,Cabo Verde,2020,55.24834853
115,CPV,Cabo Verde,2019,54.2
116,CPV,Cabo Verde,2018,52.4
117,KHM,Cambodia,2021,64.54011562
118,KHM,Cambodia,2020,78.34155289
119,KHM,Cambodia,2019,78.3
120,KHM,Cambodia,2018,77.4
121,CMR,Cameroon,2021,55.26133389
122,CMR,Cameroon,2020,77.41916312
123,CMR,Cameroon,2019,75.6
124,CMR,Cameroon,2018,72.8
125,CAN,Canada,2021,79.15540381
126,CAN,Canada,2020,64.38670719
127,CAN,Canada,2019,61.8
128,CAN,Canada,2018,60.4
129,CAF,Central African Republic,2021,38.27117724
130,CAF,Central African Republic,2020,67.17833363
131,CAF,Central African Republic,2019,65.1
132,CAF,Central African Republic,2018,64.7
133,TCD,Chad,2021,40.9043173
134,TCD,Chad,2020,79.3508968
135,TCD,Chad,2019,78.8
136,TCD,Chad,2018,80.1
137,CHL,Chile,2021,77.13278487
138,CHL,Chile,2020,78.18972804
139,CHL,Chile,2019,77.9
140,CHL,Chile,2018,76.8
141,CHN,China,2021,72.06163657
142,CHN,China,2020,38.536617
143,CHN,China,2019,39.1
144,CHN,China,2018,37.7
145,COL,Colombia,2021,70.55730329
146,COL,Colombia,2020,53.07385714
147,COL,Colombia,2019,53
148,COL,Colombia,2018,0
149,COM,Comoros,2021,0
150,COM,Comoros,2020,49.7107409
151,COM,Comoros,2019,44.9
152,COM,Comoros,2018,43.4
153,COD,Congo. Dem. Rep.,2021,49.29806165
154,COD,Congo. Dem. Rep.,2020,73.89361975
155,COD,Congo. Dem. Rep.,2019,73.2
156,COD,Congo. Dem. Rep.,2018,70.1
157,COG,Congo. Rep.,2021,52.94574993
158,COG,Congo. Rep.,2020,70.90539164
159,COG,Congo. Rep.,2019,69.6
160,COG,Congo. Rep.,2018,66.6
161,CRI,Costa Rica,2021,73.5501145
162,CRI,Costa Rica,2020,75.07765355
163,CRI,Costa Rica,2019,75
164,CRI,Costa Rica,2018,73.2
165,CIV,Cote d'Ivoire,2021,57.56247654
166,CIV,Cote d'Ivoire,2020,43.75071453
167,CIV,Cote d'Ivoire,2019,42.8
168,CIV,Cote d'Ivoire,2018,42.8
169,HRV,Croatia,2021,80.37550147
170,HRV,Croatia,2020,64.44480574
171,HRV,Croatia,2019,63.4
172,HRV,Croatia,2018,63.6
173,CUB,Cuba,2021,73.65433835
174,CUB,Cuba,2020,57.90914244
175,CUB,Cuba,2019,55.7
176,CUB,Cuba,2018,55.2
177,CYP,Cyprus,2021,74.86543062
178,CYP,Cyprus,2020,78.40059419
179,CYP,Cyprus,2019,77.8
180,CYP,Cyprus,2018,76.5
181,CZE,Czech Republic,2021,81.38791486
182,CZE,Czech Republic,2020,72.58152219
183,CZE,Czech Republic,2019,70.8
184,CZE,Czech Republic,2018,71.3
185,DNK,Denmark,2021,84.8605221
186,DNK,Denmark,2020,54.56479738
187,DNK,Denmark,2019,51.4
188,DNK,Denmark,2018,50.6
189,DJI,Djibouti,2021,53.76445481
190,DJI,Djibouti,2020,80.57667645
191,DJI,Djibouti,2019,80.7
192,DJI,Djibouti,2018,78.7
193,DMA,Dominica,2021,0
194,DMA,Dominica,2020,84.55877579
195,DMA,Dominica,2019,85.2
196,DMA,Dominica,2018,84.6
197,DOM,Dominican Republic,2021,70.76020203
198,DOM,Dominican Republic,2020,0
199,DOM,Dominican Republic,2019,0
200,DOM,Dominican Republic,2018,0
201,ECU,Ecuador,2021,72.53935259
202,ECU,Ecuador,2020,74.26065121
203,ECU,Ecuador,2019,72.3
204,ECU,Ecuador,2018,70.8
205,EGY,Egypt. Arab Rep.,2021,68.64710728
206,EGY,Egypt. Arab Rep.,2020,68.78855233
207,EGY,Egypt. Arab Rep.,2019,66.2
208,EGY,Egypt. Arab Rep.,2018,63.5
209,SLV,El Salvador,2021,67.92642038
210,SLV,El Salvador,2020,79.80024886
211,SLV,El Salvador,2019,79.4
212,SLV,El Salvador,2018,0
213,GNQ,Equatorial Guinea,2021,0
214,GNQ,Equatorial Guinea,2020,0
215,GNQ,Equatorial Guinea,2019,0
216,GNQ,Equatorial Guinea,2018,0
217,ERI,Eritrea,2021,0
218,ERI,Eritrea,2020,69.6241965
219,ERI,Eritrea,2019,66.7
220,ERI,Eritrea,2018,64.1
221,EST,Estonia,2021,81.57585204
222,EST,Estonia,2020,0
223,EST,Estonia,2019,0
224,EST,Estonia,2018,0
225,SWZ,Eswatini,2021,53.32832376
226,SWZ,Eswatini,2020,49.56100301
227,SWZ,Eswatini,2019,51.4
228,SWZ,Eswatini,2018,68
