Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021
Aruba,ABW,Population. total,SP.POP.TOTL,,,,
Afghanistan,AFG,Population. total,SP.POP.TOTL,46.2,49.6,54.22,53.9
Albania,ALB,Population. total,SP.POP.TOTL,67.9,71.1,72.27,71.0
Algeria,DZA,Population. total,SP.POP.TOTL,66.4,69.8,70.17,70.9
American Samoa,ASM,Population. total,SP.POP.TOTL,,,,
Andorra,AND,Population. total,SP.POP.TOTL,,,,
Angola,AGO,Population. total,SP.POP.TOTL,68.9,70.3,70.82,50.3
Antigua and Barbuda,ATG,Population. total,SP.POP.TOTL,69.3,68.8,69.86,
Arab World,ARB,Population. total,SP.POP.TOTL,,,,
Argentina,ARG,Population. total,SP.POP.TOTL,,,,72.8
Armenia,ARM,Population. total,SP.POP.TOTL,70.3,72.4,73.17,71.8
Aruba,ABW,Population. total,SP.POP.TOTL,,,,
Australia,AUS,Population. total,SP.POP.TOTL,72.9,73.9,74.87,75.6
Austria,AUT,Population. total,SP.POP.TOTL,80.0,81.1,80.70,82.1
Azerbaijan,AZE,Population. total,SP.POP.TOTL,70.8,70.5,72.61,72.4
Bahamas. The,BHS,Population. total,SP.POP.TOTL,49.0,50.9,53.31,
Bahrain,BHR,Population. total,SP.POP.TOTL,62.3,62.5,65.08,66.1
Bangladesh,BGD,Population. total,SP.POP.TOTL,76.0,77.4,78.76,63.5
Barbados,BRB,Population. total,SP.POP.TOTL,,,68.15,68.4
Belarus,BLR,Population. total,SP.POP.TOTL,68.1,68.4,69.27,78.8
Belgium,BEL,Population. total,SP.POP.TOTL,65.9,68.7,68.83,82.2
Belize,BLZ,Population. total,SP.POP.TOTL,67.3,69.4,73.48,64.4
Benin,BEN,Population. total,SP.POP.TOTL,59.3,60.9,63.51,49.9
Bermuda,BMU,Population. total,SP.POP.TOTL,,,,
Bhutan,BTN,Population. total,SP.POP.TOTL,50.9,52.4,55.22,70.0
Bolivia,BOL,Population. total,SP.POP.TOTL,58.5,59.8,61.45,67.6
Bosnia and Herzegovina,BIH,Population. total,SP.POP.TOTL,65.4,67.6,69.27,73.7
Botswana,BWA,Population. total,SP.POP.TOTL,49.8,51.5,53.46,61.9
Brazil,BRA,Population. total,SP.POP.TOTL,69.7,70.6,72.67,71.3
British Virgin Islands,VGB,Population. total,SP.POP.TOTL,,,,
Brunei Darussalam,BRN,Population. total,SP.POP.TOTL,73.1,74.5,74.77,68.3
Bulgaria,BGR,Population. total,SP.POP.TOTL,79.0,78.9,79.96,73.8
Burkina Faso,BFA,Population. total,SP.POP.TOTL,,,68.29,53.5
Burundi,BDI,Population. total,SP.POP.TOTL,,,,51.8
Cabo Verde,CPV,Population. total,SP.POP.TOTL,52.4,54.2,55.25,68.1
Cambodia,KHM,Population. total,SP.POP.TOTL,77.4,78.3,78.34,64.5
Cameroon,CMR,Population. total,SP.POP.TOTL,72.8,75.6,77.42,55.3
Canada,CAN,Population. total,SP.POP.TOTL,60.4,61.8,64.39,79.2
Caribbean small states,CSS,Population. total,SP.POP.TOTL,,,,
Cayman Islands,CYM,Population. total,SP.POP.TOTL,,,,
Central African Republic,CAF,Population. total,SP.POP.TOTL,64.7,65.1,67.18,38.3
Central Europe and the Baltics,CEB,Population. total,SP.POP.TOTL,,,,
Chad,TCD,Population. total,SP.POP.TOTL,80.1,78.8,79.35,40.9
Channel Islands,CHI,Population. total,SP.POP.TOTL,,,,
Chile,CHL,Population. total,SP.POP.TOTL,76.8,77.9,78.19,77.1
China,CHN,Population. total,SP.POP.TOTL,37.7,39.1,38.54,72.1
Colombia,COL,Population. total,SP.POP.TOTL,,53.0,53.07,70.6
Comoros,COM,Population. total,SP.POP.TOTL,43.4,44.9,49.71,
Congo. Dem. Rep.,COD,Population. total,SP.POP.TOTL,70.1,73.2,73.89,49.3
Congo. Rep.,COG,Population. total,SP.POP.TOTL,66.6,69.6,70.91,52.9
Costa Rica,CRI,Population. total,SP.POP.TOTL,73.2,75.0,75.08,73.6
Cote d'Ivoire,CIV,Population. total,SP.POP.TOTL,42.8,42.8,43.75,57.6
Country Name,Country Code,Indicator Name,Indicator Code,2018,2019,2020,2021
Croatia,HRV,Population. total,SP.POP.TOTL,63.6,63.4,64.44,80.4
Cuba,CUB,Population. total,SP.POP.TOTL,55.2,55.7,57.91,73.7
Curacao,CUW,Population. total,SP.POP.TOTL,,,,
Cyprus,CYP,Population. total,SP.POP.TOTL,76.5,77.8,78.40,74.9
Czech Republic,CZE,Population. total,SP.POP.TOTL,71.3,70.8,72.58,81.4
Data Source,World Development Indicators,,,,,,
Denmark,DNK,Population. total,SP.POP.TOTL,50.6,51.4,54.56,84.9
Djibouti,DJI,Population. total,SP.POP.TOTL,78.7,80.7,80.58,53.8
Dominica,DMA,Population. total,SP.POP.TOTL,84.6,85.2,84.56,
Dominican Republic,DOM,Population. total,SP.POP.TOTL,,,,70.8
Early-demographic dividend,EAR,Population. total,SP.POP.TOTL,,,,
East Asia & Pacific,EAS,Population. total,SP.POP.TOTL,,,,
East Asia & Pacific (excluding high income),EAP,Population. total,SP.POP.TOTL,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,Population. total,SP.POP.TOTL,,,,
Ecuador,ECU,Population. total,SP.POP.TOTL,70.8,72.3,74.26,72.5
